partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_repeat,2,0.1,0.5,long_range_correction,72,0.06524599918542123
standardized_exclusion_repeat,2,0.1,0.5,pme,72,0.25523185923717223
standardized_exclusion_repeat,2,0.1,0.5,total,72,3.1759723473270474
standardized_exclusion_repeat,2,0.1,0.5,van_der_waals,72,4.300148582660757
standardized_exclusion_repeat,2,0.1,0.5,van_der_waals_softcore,72,1.004226074565844
standardized_exclusion_repeat,2,0.1,0.9,coulomb,72,7.79405477275802
standardized_exclusion_repeat,2,0.1,0.9,coulomb_softcore,72,1.5181072738031505
standardized_exclusion_repeat,2,0.1,0.9,long_range_correction,72,0.012959550606780404
standardized_exclusion_repeat,2,0.1,0.9,pme,72,0.046604974413907076
standardized_exclusion_repeat,2,0.1,0.9,total,72,7.118768095306962
standardized_exclusion_repeat,2,0.1,0.9,van_der_waals,72,2.1226421931052624
standardized_exclusion_repeat,2,0.1,0.9,van_der_waals_softcore,72,0.1841327383064619
standardized_exclusion_repeat,2,0.2,0.1,coulomb,72,6.159291853242195
standardized_exclusion_repeat,2,0.2,0.1,coulomb_softcore,72,4.183937458532036
standardized_exclusion_repeat,2,0.2,0.1,long_range_correction,72,0.11635762627265889
standardized_exclusion_repeat,2,0.2,0.1,pme,72,0.5895022637092109
standardized_exclusion_repeat,2,0.2,0.1,total,72,5.836865010126664
standardized_exclusion_repeat,2,0.2,0.1,van_der_waals,72,5.951853494737196
standardized_exclusion_repeat,2,0.2,0.1,van_der_waals_softcore,72,2.14454574010476
standardized_exclusion_repeat,2,0.2,0.5,coulomb,72,4.71169733388604
standardized_exclusion_repeat,2,0.2,0.5,coulomb_softcore,72,2.7034822136301537
standardized_exclusion_repeat,2,0.2,0.5,long_range_correction,72,0.06515779316720026
standardized_exclusion_repeat,2,0.2,0.5,pme,72,0.18757315024611013
