partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_repeat,0,314159.0,P1-H_shuffled_residual,0p1_0p5_0p9,total,1.0,88005.0,0.19149712752352505,0.3004743777442939,0.11480345063741482,0.7361111111111112,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1,total,1.0,,0.19253770834396705,0.313256049478227,0.10581640520466928,0.75,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1,total,1.0,,0.19322790499874384,0.30091537607082336,0.11254427139619327,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p5,total,1.0,,0.20069885847486532,0.3060782882824369,0.11916752049643453,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p5,total,1.0,,0.1971865165569588,0.30588169765421414,0.11696533909596152,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p9,total,1.0,,0.1925616263692669,0.30681893609170174,0.11171501504704939,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p9,total,1.0,,0.1938020310411942,0.30148163572339515,0.1151245669744948,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p5,total,1.0,,0.19301522283866712,0.3053661509523266,0.11127781444192064,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p5,total,1.0,,0.19688156547655553,0.308585239753687,0.11624007465565067,0.7083333333333334,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p9,total,1.0,,0.19514417213125287,0.3146774432881712,0.10911053662045833,0.75,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p9,total,1.0,,0.19402413977462102,0.30328601591767146,0.11270459578756675,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p5_0p9,total,1.0,,0.19345231765590706,0.3018334302366946,0.11620293243197155,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p5_0p9,total,1.0,,0.1925635831274299,0.3015341939096296,0.11464368213653431,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_generic_posterior,0p1_0p5_0p9,total,1.0,,0.19311786921367846,0.30244127062622755,0.11320851220962647,0.7222222222222222,72
standardized_exclusion_repeat,0,314159.0,P1-F_solvai_conditioned_posterior,0p1_0p5_0p9,total,1.0,,0.19370728015638206,0.30238093961089285,0.1133310485335608,0.7222222222222222,72
standardized_exclusion_repeat,1,271828.0,P1-0_structure_only,none,none,0.0,,0.3067040310050455,0.5828093545677034,0.18103638668430544,0.5277777777777778,72
standardized_exclusion_repeat,1,271828.0,P1-A_frozen_solvai,none,none,0.0,,0.19353171637394673,0.2983560904095593,0.12016499470899533,0.7083333333333334,72
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,0.19312289015589135,0.29963563087545964,0.11841963493538188,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,0.1953526296035976,0.3035848695923308,0.1249342508245157,0.6805555555555556,72
standardized_exclusion_repeat,1,271828.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,0.1930155830059755,0.2997129242288783,0.12258623389099221,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,0.19317904094612004,0.30015064490463195,0.12094809260665218,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-C_actual_response,0p1_0p5_0p9,total,0.2,,0.19438061085545302,0.299915423624645,0.1209623473627418,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.2,,0.19401896776326433,0.29860476688926213,0.1216304948486503,0.7083333333333334,72
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.4,,0.1929466553343451,0.3000817288523952,0.11857766690492988,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-C_actual_response,0p1_0p5_0p9,total,0.4,,0.1960090018623859,0.30039515865054106,0.1196754077823714,0.7083333333333334,72
standardized_exclusion_repeat,1,271828.0,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.4,,0.19293805721983703,0.2990618050586966,0.12050720209497268,0.7083333333333334,72
standardized_exclusion_repeat,1,271828.0,P1-B_predicted_response,0p1_0p5_0p9,total,0.7,,0.1932755369965512,0.3003940902538334,0.11877829519762129,0.6944444444444444,72
standardized_exclusion_repeat,1,271828.0,P1-C_actual_response,0p1_0p5_0p9,total,0.7,,0.1936555814804208,0.30063413450779425,0.1218464179797909,0.7083333333333334,72
